NU_ANO_EDICAO;CO_CURSO;NO_AREA;DS_MODALIDADE;VL_NOTA_BRUTA_FG;VL_NOTA_BRUTA_CE;VL_NOTA_ENADE_CONTINUO
2016;80124;ENFERMAGEM;Educação Presencial;34.261291504000;36.987098694000;1.490400000000
2016;80133;NUTRIÇÃO;Educação Presencial;51.529998779000;52.373332977000;2.952200000000
2016;80141;BIOMEDICINA;Educação Presencial;46.228786469000;38.921211243000;1.870700000000
2016;80158;FISIOTERAPIA;Educação Presencial;41.184745789000;36.049152374000;2.291300000000
2016;80204;TECNOLOGIA EM AGRONEGÓCIOS;Educação Presencial;35.844825745000;33.617240906000;1.264500000000
2016;80206;TECNOLOGIA EM GESTÃO AMBIENTAL;Educação Presencial;48.711112976000;48.950000763000;3.232000000000
2016;80212;ENFERMAGEM;Educação Presencial;37.034694672000;33.495918274000;1.208200000000
2016;80214;ENFERMAGEM;Educação Presencial;41.395236969000;43.164287567000;2.393300000000
2016;80272;ODONTOLOGIA;Educação Presencial;50.044261932000;59.783607483000;2.762300000000
2016;80317;FISIOTERAPIA;Educação Presencial;54.840000153000;34.939998627000;2.645200000000
2016;80319;NUTRIÇÃO;Educação Presencial;41.353332520000;46.880001068000;2.152200000000
2016;80324;ENFERMAGEM;Educação Presencial;42.992855072000;46.376190186000;2.791900000000
2016;80326;NUTRIÇÃO;Educação Presencial;49.099998474000;59.069999695000;3.432600000000
2016;80328;ENFERMAGEM;Educação Presencial;50.724998474000;41.487499237000;2.525700000000
2016;80330;EDUCAÇÃO FÍSICA (BACHARELADO);Educação Presencial;41.391471863000;44.450386047000;2.502100000000
2016;80354;TECNOLOGIA EM GESTÃO AMBIENTAL;Educação Presencial;42.607143402000;42.049999237000;2.110600000000
2016;80360;EDUCAÇÃO FÍSICA (BACHARELADO);Educação Presencial;41.319999695000;48.120002747000;2.918500000000
2016;80362;FARMÁCIA;Educação Presencial;42.344444275000;56.688888550000;2.870000000000
2016;80373;TECNOLOGIA EM GESTÃO AMBIENTAL;Educação Presencial;45.845832825000;47.933334351000;2.998700000000
2016;80562;TECNOLOGIA EM RADIOLOGIA;Educação Presencial;37.490242004000;39.400001526000;1.719900000000
2016;80564;TECNOLOGIA EM RADIOLOGIA;Educação Presencial;39.553333282000;43.473331451000;2.315700000000
2016;80608;ENFERMAGEM;Educação Presencial;43.833332062000;32.633335114000;1.343300000000
2016;80610;AGRONOMIA;Educação Presencial;45.599998474000;64.621871948000;3.095000000000
2016;8065;SERVIÇO SOCIAL;Educação Presencial;42.958694458000;52.370651245000;2.691800000000
2016;80810;EDUCAÇÃO FÍSICA (BACHARELADO);Educação Presencial;39.839344025000;39.013114929000;1.817100000000
2016;80824;NUTRIÇÃO;Educação Presencial;51.799999237000;58.457141876000;3.471300000000
2016;80865;ENFERMAGEM;Educação Presencial;42.088890076000;42.996295929000;2.398400000000
2016;80871;FISIOTERAPIA;Educação Presencial;50.488887787000;35.288890839000;2.532000000000
2016;8100;ODONTOLOGIA;Educação Presencial;51.054763794000;61.985713959000;3.027400000000
2016;81068;FONOAUDIOLOGIA;Educação Presencial;50.290908813000;60.045455933000;3.020300000000
2016;81096;ENFERMAGEM;Educação Presencial;39.816001892000;38.175998688000;1.804300000000
2016;81098;FARMÁCIA;Educação Presencial;46.956520081000;54.343479156000;2.800800000000
2016;81102;FARMÁCIA;Educação Presencial;43.628570557000;43.590476990000;1.618700000000
2016;81113;ODONTOLOGIA;Educação Presencial;44.580001831000;61.278461456000;2.702900000000
2016;81194;ENFERMAGEM;Educação Presencial;33.276000977000;28.559999466000;0.551800000000
2016;81268;FISIOTERAPIA;Educação Presencial;30.617391586000;44.973911285000;2.892900000000
2016;81351;FISIOTERAPIA;Educação Presencial;43.341381073000;37.605171204000;2.535100000000
2016;81374;AGRONOMIA;Educação Presencial;46.939998627000;60.094001770000;2.649600000000
2016;81382;EDUCAÇÃO FÍSICA (BACHARELADO);Educação Presencial;42.024002075000;44.530666351000;2.537300000000
2016;81384;FARMÁCIA;Educação Presencial;43.120239258000;47.132141113000;1.951300000000
2016;81386;FARMÁCIA;Educação Presencial;46.335716248000;51.703571320000;2.517500000000
2016;81410;TECNOLOGIA EM RADIOLOGIA;Educação Presencial;34.495239258000;34.069046021000;0.930900000000
2016;8153;SERVIÇO SOCIAL;Educação Presencial;36.514999390000;45.875000000000;1.981100000000
2016;8163;FISIOTERAPIA;Educação Presencial;42.741935730000;38.861289978000;2.650600000000
2016;81845;AGRONOMIA;Educação Presencial;40.534286499000;56.608570099000;2.013900000000
2016;81914;AGRONOMIA;Educação Presencial;45.773807526000;51.123809814000;1.616800000000
2016;81923;ENFERMAGEM;Educação Presencial;32.700000763000;38.000000000000;1.546900000000
2016;81956;TECNOLOGIA EM ESTÉTICA E COSMÉTICA;Educação Presencial;45.383335114000;61.360000610000;4.821600000000
2016;82032;ENFERMAGEM;Educação Presencial;38.650001526000;38.525001526000;1.802700000000
2016;82174;NUTRIÇÃO;Educação Presencial;41.690475464000;44.304759979000;1.947500000000
2016;82224;MEDICINA;Educação Presencial;61.642574310000;69.115844727000;2.940200000000
2016;82227;ODONTOLOGIA;Educação Presencial;47.012622833000;62.378154755000;2.910300000000
2016;82336;EDUCAÇÃO FÍSICA (BACHARELADO);Educação Presencial;32.216667175000;32.883331299000;0.803600000000
2016;82338;SERVIÇO SOCIAL;Educação Presencial;35.422580719000;47.712902069000;2.080400000000
2016;82494;SERVIÇO SOCIAL;Educação Presencial;;;
2016;82498;TECNOLOGIA EM ESTÉTICA E COSMÉTICA;Educação Presencial;;;
2016;108708;ENFERMAGEM;Educação Presencial;41.918460846000;43.343078613000;2.430000000000
2016;108710;ENFERMAGEM;Educação Presencial;39.000000000000;39.532257080000;1.922700000000
2016;108719;SERVIÇO SOCIAL;Educação Presencial;41.304000854000;42.319999695000;1.882400000000
2016;1087200;ENFERMAGEM;Educação Presencial;43.915790558000;50.136840820000;3.227000000000
2016;1087201;FARMÁCIA;Educação Presencial;57.599998474000;55.787498474000;3.319900000000
2016;108723;EDUCAÇÃO FÍSICA (BACHARELADO);Educação Presencial;36.669841766000;40.857143402000;1.897600000000
2016;108725;NUTRIÇÃO;Educação Presencial;38.409523010000;40.657142639000;1.532200000000
2016;10873;SERVIÇO SOCIAL;Educação Presencial;49.447826385000;65.543479919000;3.903500000000
2016;108752;FARMÁCIA;Educação Presencial;51.735000610000;52.665000916000;2.803500000000
2016;108808;TECNOLOGIA EM ESTÉTICA E COSMÉTICA;Educação Presencial;39.831817627000;45.000000000000;2.352600000000
2016;108872;TECNOLOGIA EM GESTÃO AMBIENTAL;Educação a Distância;40.154762268000;40.154762268000;1.775700000000
2016;108882;MEDICINA;Educação Presencial;61.842857361000;65.930610657000;2.489200000000
2016;108884;MEDICINA;Educação Presencial;56.617740631000;65.295158386000;2.101700000000
2016;108938;NUTRIÇÃO;Educação Presencial;37.460414886000;45.345832825000;1.893700000000
2016;108970;FARMÁCIA;Educação Presencial;41.000000000000;49.819442749000;2.142500000000
